Ticket ID,Ticket Status,Ticket Priority,Date of Purchase,Time to Resolution,Lifespan_Hours
1690,Pending Customer Response,Medium,2021-11-17,,
1691,Pending Customer Response,Medium,2021-11-14,,
1692,Closed,High,2021-09-11,2023-06-01 21:36:23,15093.60638888889
1693,Open,High,2021-07-17,,
1694,Open,Low,2020-10-18,,
1695,Open,Medium,2021-11-29,,
1696,Open,Medium,2020-11-10,,
1697,Open,Critical,2020-12-17,,
1698,Open,Low,2021-03-06,,
1699,Pending Customer Response,Medium,2020-06-26,,
1700,Closed,Low,2021-03-03,2023-06-01 12:58:34,19692.97611111111
1701,Closed,Medium,2020-04-25,2023-06-01 15:48:35,27183.80972222222
1702,Pending Customer Response,High,2020-07-18,,
1703,Closed,Medium,2021-10-20,2023-06-01 20:37:39,14156.6275
1704,Closed,Medium,2021-10-02,2023-06-01 21:20:39,14589.344166666666
1705,Open,High,2021-10-08,,
1706,Closed,Low,2020-07-09,2023-06-01 04:35:43,25372.59527777778
1707,Pending Customer Response,High,2020-01-17,,
1708,Pending Customer Response,High,2021-01-05,,
1709,Pending Customer Response,Low,2021-10-01,,
1710,Closed,High,2020-02-18,2023-06-01 06:56:48,28782.946666666667
1711,Closed,High,2021-10-22,2023-05-31 23:44:49,14087.746944444445
1712,Pending Customer Response,Critical,2021-01-02,,
1713,Open,Medium,2020-11-30,,
1714,Pending Customer Response,Low,2021-07-07,,
1715,Closed,Critical,2021-01-09,2023-06-01 11:22:55,20963.381944444445
1716,Closed,Low,2020-09-13,2023-06-01 20:51:57,23804.865833333333
1717,Open,Medium,2021-07-22,,
1718,Closed,Medium,2020-11-28,2023-06-01 19:12:00,21979.2
1719,Closed,Medium,2021-05-10,2023-06-01 10:45:01,18058.750277777777
1720,Open,Medium,2021-03-31,,
1721,Open,High,2020-12-30,,
1722,Closed,Low,2020-06-06,2023-06-01 19:38:04,26179.634444444444
1723,Closed,High,2021-01-06,2023-05-31 22:37:05,21022.618055555555
1724,Open,Low,2020-01-17,,
1725,Closed,Critical,2021-08-14,2023-06-01 21:35:09,15765.585833333333
1726,Open,Low,2020-04-11,,
1727,Closed,Critical,2021-07-13,2023-06-01 09:45:12,16521.753333333334
1728,Pending Customer Response,Critical,2020-01-12,,
1729,Open,Critical,2020-07-25,,
1730,Open,High,2021-10-11,,
1731,Pending Customer Response,Critical,2020-09-08,,
1732,Closed,High,2020-01-09,2023-06-01 05:13:17,29741.221388888887
1733,Closed,Medium,2021-02-02,2023-06-01 10:44:19,20386.738611111112
1734,Pending Customer Response,Medium,2020-01-31,,
1735,Closed,Medium,2021-04-19,2023-06-01 08:08:22,18560.139444444445
1736,Pending Customer Response,Medium,2020-07-07,,
1737,Closed,High,2021-05-14,2023-06-01 07:29:24,17959.49
1738,Open,High,2020-04-27,,
1739,Pending Customer Response,High,2020-01-10,,
1740,Open,High,2021-10-13,,
1741,Open,High,2021-03-20,,
1742,Closed,High,2021-02-26,2023-06-01 10:24:31,19810.40861111111
1743,Closed,Medium,2021-07-29,2023-06-01 06:24:33,16134.409166666666
1744,Open,Critical,2020-04-21,,
1745,Pending Customer Response,Medium,2020-07-21,,
1746,Pending Customer Response,Critical,2020-11-14,,
1747,Pending Customer Response,High,2021-12-26,,
1748,Closed,High,2020-09-02,2023-06-01 06:14:39,24054.244166666667
1749,Open,Critical,2020-08-08,,
1750,Open,High,2020-02-03,,
1751,Pending Customer Response,Critical,2020-01-03,,
1752,Open,Low,2021-05-06,,
1753,Closed,Critical,2020-05-30,2023-05-31 23:49:46,26327.829444444444
1754,Open,Medium,2021-04-01,,
1755,Closed,High,2020-05-14,2023-06-01 16:39:48,26728.663333333334
1756,Closed,Low,2021-01-29,2023-06-01 18:45:50,20490.76388888889
1757,Open,Medium,2020-03-07,,
1758,Open,Low,2021-05-10,,
1759,Open,Medium,2021-09-25,,
1760,Pending Customer Response,Low,2021-10-22,,
1761,Open,Low,2020-09-12,,
1762,Closed,Medium,2020-06-10,2023-06-01 12:30:00,26076.5
1763,Pending Customer Response,Medium,2021-04-15,,
1764,Pending Customer Response,Critical,2021-07-25,,
1765,Closed,Low,2021-02-21,2023-06-01 22:11:03,19942.184166666666
1766,Closed,High,2021-03-20,2023-06-01 05:56:04,19277.934444444443
1767,Pending Customer Response,High,2020-07-16,,
1768,Closed,Low,2020-12-23,2023-06-01 20:08:08,21380.135555555556
1769,Pending Customer Response,Critical,2021-11-23,,
1770,Pending Customer Response,Low,2021-04-22,,
1771,Pending Customer Response,Critical,2020-09-24,,
1772,Open,Critical,2021-05-12,,
1773,Closed,Low,2020-08-13,2023-06-01 19:06:16,24547.104444444445
1774,Open,High,2021-11-25,,
1775,Pending Customer Response,Low,2021-01-05,,
1776,Open,High,2021-10-11,,
1777,Pending Customer Response,High,2020-02-09,,
1778,Open,High,2020-05-22,,
1779,Closed,High,2020-06-12,2023-06-01 10:09:24,26026.156666666666
1780,Pending Customer Response,Critical,2020-09-10,,
1781,Pending Customer Response,Low,2020-09-06,,
1782,Closed,High,2020-05-26,2023-06-01 18:43:28,26442.724444444444
1783,Closed,Low,2021-12-11,2023-06-01 00:51:29,12888.858055555556
1784,Closed,Critical,2021-08-01,2023-06-01 16:15:31,16072.25861111111
1785,Closed,Medium,2021-01-15,2023-06-01 05:04:33,20813.075833333332
1786,Closed,Low,2021-08-10,2023-06-01 15:40:33,15855.675833333333
1787,Open,High,2021-06-15,,
1788,Open,Medium,2020-10-16,,
1789,Pending Customer Response,Medium,2021-10-20,,
1790,Pending Customer Response,High,2020-06-24,,
1791,Open,Critical,2021-07-24,,
1792,Open,Low,2020-04-30,,
1793,Open,Critical,2020-02-23,,
1794,Pending Customer Response,Critical,2021-01-17,,
1795,Open,Critical,2020-11-04,,
1796,Open,High,2020-01-07,,
1797,Open,High,2020-06-03,,
1798,Pending Customer Response,High,2020-07-24,,
1799,Pending Customer Response,Low,2020-02-09,,
1800,Pending Customer Response,High,2021-02-26,,
1801,Pending Customer Response,Low,2021-01-15,,
1802,Open,Low,2021-10-06,,
1803,Pending Customer Response,Medium,2021-08-21,,
1804,Open,High,2020-04-02,,
1805,Closed,Critical,2021-12-04,2023-06-01 12:59:58,13068.999444444444
1806,Closed,Low,2021-03-28,2023-06-01 00:29:00,19080.483333333334
1807,Closed,Medium,2021-06-27,2023-06-01 11:28:01,16907.466944444444
1808,Closed,Medium,2020-02-24,2023-05-31 22:35:02,28630.58388888889
1809,Pending Customer Response,Medium,2020-11-22,,
1810,Pending Customer Response,High,2021-09-15,,
1811,Open,Low,2021-12-03,,
1812,Open,High,2021-11-25,,
1813,Closed,Critical,2021-12-17,2023-06-01 04:54:09,12748.9025
1814,Pending Customer Response,High,2020-02-18,,
1815,Open,Medium,2020-02-22,,
1816,Pending Customer Response,Medium,2020-04-19,,
1817,Open,Critical,2021-01-05,,
1818,Pending Customer Response,Low,2020-07-18,,
1819,Pending Customer Response,Medium,2021-08-17,,
1820,Closed,High,2020-08-20,2023-06-01 16:10:20,24376.172222222223
1821,Open,Medium,2021-08-13,,
1822,Pending Customer Response,Low,2021-02-21,,
1823,Open,High,2021-08-02,,
1824,Open,High,2020-10-13,,
1825,Closed,High,2020-01-16,2023-06-01 06:45:27,29574.7575
1826,Closed,High,2021-06-11,2023-06-01 06:25:29,17286.424722222222
1827,Pending Customer Response,High,2020-04-14,,
1828,Closed,Critical,2021-02-01,2023-06-01 12:11:30,20412.191666666666
1829,Pending Customer Response,Low,2020-10-13,,
1830,Open,Medium,2020-10-22,,
1831,Pending Customer Response,High,2020-07-16,,
1832,Pending Customer Response,Low,2021-11-14,,
1833,Open,Low,2020-12-04,,
1834,Open,Medium,2020-08-08,,
1835,Open,Critical,2021-07-10,,
1836,Closed,Critical,2021-08-22,2023-06-01 03:38:41,15555.644722222221
1837,Open,Critical,2021-03-31,,
1838,Closed,Medium,2020-01-20,2023-06-01 07:45:43,29479.761944444443
1839,Closed,Low,2020-08-22,2023-06-01 21:25:45,24333.429166666665
1840,Open,High,2020-10-07,,
1841,Open,Medium,2021-07-22,,
1842,Open,Medium,2021-04-20,,
1843,Open,Critical,2020-07-25,,
1844,Open,High,2020-12-04,,
1845,Open,Critical,2020-09-22,,
1846,Closed,Low,2020-07-09,2023-06-01 02:45:55,25370.765277777777
1847,Closed,High,2021-12-20,2023-06-01 04:34:57,12676.5825
1848,Open,Critical,2020-12-11,,
1849,Open,Medium,2020-05-09,,
1850,Open,Low,2020-10-13,,
1851,Pending Customer Response,Medium,2021-01-24,,
1852,Open,Medium,2020-08-16,,
1853,Closed,Low,2020-01-26,2023-06-01 11:49:05,29339.818055555555
1854,Closed,High,2021-10-16,2023-06-01 13:28:07,14245.468611111111
1855,Pending Customer Response,Medium,2020-08-09,,
1856,Pending Customer Response,High,2020-05-16,,
1857,Pending Customer Response,Critical,2020-04-24,,
1858,Closed,Critical,2020-12-04,2023-06-01 19:35:13,21835.586944444443
1859,Pending Customer Response,High,2020-01-27,,
1860,Pending Customer Response,Critical,2021-02-28,,
1861,Open,Medium,2020-11-17,,
1862,Closed,Medium,2020-08-24,2023-06-01 20:25:20,24284.422222222223
1863,Open,Medium,2021-02-22,,
1864,Open,Low,2020-10-19,,
1865,Closed,Medium,2020-07-17,2023-06-01 01:04:24,25177.073333333334
1866,Closed,Critical,2020-03-17,2023-06-01 00:20:24,28104.34
1867,Closed,Low,2020-03-25,2023-06-01 01:13:25,27913.223611111112
1868,Pending Customer Response,High,2021-06-29,,
1869,Open,Medium,2020-07-24,,
1870,Open,Critical,2020-12-08,,
1871,Pending Customer Response,Medium,2021-11-08,,
1872,Pending Customer Response,Low,2020-12-18,,
1873,Pending Customer Response,Low,2021-12-30,,
1874,Open,Medium,2021-04-02,,
1875,Pending Customer Response,Critical,2021-12-21,,
1876,Closed,Low,2021-01-31,2023-06-01 16:30:39,20440.510833333334
1877,Pending Customer Response,High,2021-02-11,,
1878,Pending Customer Response,Medium,2020-11-27,,
1879,Open,Medium,2021-09-08,,
1880,Pending Customer Response,High,2020-11-23,,
1881,Open,Low,2020-07-15,,
1882,Pending Customer Response,Low,2020-10-24,,
1883,Closed,High,2021-11-29,2023-06-01 07:14:51,13183.2475
1884,Open,Critical,2021-04-15,,
1885,Closed,High,2021-01-31,2023-06-01 11:21:52,20435.364444444444
1886,Pending Customer Response,Medium,2020-07-19,,
1887,Closed,High,2020-10-04,2023-06-01 05:05:53,23285.098055555554
1888,Closed,High,2021-09-11,2023-06-01 12:34:54,15084.581666666667
1889,Pending Customer Response,Medium,2021-08-15,,
1890,Pending Customer Response,Critical,2021-01-15,,
1891,Pending Customer Response,Low,2021-04-13,,
1892,Open,High,2020-07-22,,
1893,Open,Medium,2021-08-09,,
1894,Pending Customer Response,Low,2021-12-01,,
1895,Open,Low,2020-11-30,,
1896,Closed,Medium,2020-09-06,2023-06-01 00:18:08,23952.30222222222
1897,Closed,Medium,2020-03-17,2023-06-01 15:05:09,28119.085833333334
1898,Closed,Medium,2021-07-23,2023-06-01 06:11:10,16278.18611111111
1899,Pending Customer Response,Critical,2020-03-07,,
1900,Pending Customer Response,High,2021-04-26,,
1901,Pending Customer Response,Low,2021-05-26,,
1902,Closed,Low,2021-04-09,2023-06-01 08:32:17,18800.538055555557
1903,Closed,Medium,2021-04-04,2023-06-01 17:53:17,18929.888055555555
1904,Pending Customer Response,Low,2021-08-30,,
1905,Pending Customer Response,Low,2020-05-17,,
1906,Closed,Critical,2021-04-15,2023-06-01 07:30:20,18655.505555555555
1907,Pending Customer Response,High,2021-03-23,,
1908,Pending Customer Response,Low,2021-09-21,,
1909,Open,Critical,2021-08-10,,
1910,Pending Customer Response,Low,2021-04-05,,
1911,Open,Medium,2021-01-20,,
1912,Pending Customer Response,Low,2021-10-03,,
1913,Pending Customer Response,High,2020-12-09,,
1914,Pending Customer Response,Low,2020-01-18,,
1915,Pending Customer Response,High,2020-09-28,,
1916,Pending Customer Response,Low,2021-05-30,,
1917,Closed,Medium,2020-07-02,2023-06-01 11:28:35,25547.47638888889
1918,Closed,High,2020-02-24,2023-05-31 23:42:36,28631.71
1919,Closed,Critical,2021-12-22,2023-06-01 17:44:38,12641.743888888888
1920,Closed,High,2020-12-17,2023-06-01 19:36:39,21523.610833333332
1921,Open,Critical,2020-01-23,,
1922,Closed,Critical,2021-01-27,2023-06-01 16:42:43,20536.711944444443
1923,Open,Low,2021-04-25,,
1924,Open,Critical,2021-03-02,,
1925,Open,High,2021-09-12,,
1926,Closed,High,2020-04-30,2023-06-01 01:37:50,27049.630555555555
1927,Pending Customer Response,Low,2020-07-25,,
1928,Closed,Medium,2020-01-26,2023-06-01 21:18:54,29349.315
1929,Open,Critical,2020-07-13,,
1930,Pending Customer Response,Low,2020-12-15,,
1931,Pending Customer Response,Critical,2020-02-21,,
1932,Pending Customer Response,Medium,2020-05-13,,
1933,Closed,High,2021-11-04,2023-06-01 15:52:59,13791.883055555556
1934,Pending Customer Response,Medium,2020-01-04,,
1935,Open,Critical,2020-07-22,,
1936,Closed,High,2021-03-23,2023-06-01 10:40:04,19210.667777777777
1937,Pending Customer Response,High,2020-03-02,,
1938,Open,High,2021-09-04,,
1939,Closed,Critical,2020-10-10,2023-06-01 07:49:09,23143.819166666668
1940,Pending Customer Response,High,2021-07-25,,
1941,Closed,High,2020-02-09,2023-06-01 04:37:12,28996.62
1942,Open,Low,2021-08-13,,
1943,Pending Customer Response,Critical,2020-05-08,,
1944,Pending Customer Response,Critical,2020-01-07,,
1945,Closed,High,2020-12-14,2023-05-31 23:02:18,21575.038333333334
1946,Open,Low,2020-09-14,,
1947,Open,Medium,2020-09-27,,
1948,Open,Medium,2021-03-10,,
1949,Open,High,2021-04-05,,
1950,Closed,High,2021-09-23,2023-05-31 23:06:26,14783.107222222223
1951,Closed,High,2020-06-13,2023-06-01 03:57:26,25995.957222222223
1952,Open,Low,2021-06-10,,
1953,Pending Customer Response,High,2021-04-07,,
1954,Open,Low,2021-05-03,,
1955,Closed,Medium,2020-03-22,2023-06-01 15:32:33,27999.5425
1956,Pending Customer Response,High,2020-08-24,,
1957,Closed,Medium,2020-08-05,2023-06-01 08:45:36,24728.76
1958,Closed,Medium,2020-03-25,2023-06-01 07:13:37,27919.226944444443
1959,Open,Critical,2020-06-17,,
1960,Open,High,2020-03-08,,
1961,Pending Customer Response,Medium,2020-08-11,,
1962,Closed,Medium,2020-06-30,2023-06-01 13:51:43,25597.861944444445
1963,Open,Low,2021-01-19,,
1964,Pending Customer Response,Medium,2020-10-09,,
1965,Pending Customer Response,Medium,2021-03-03,,
1966,Closed,Medium,2021-04-26,2023-06-01 01:01:51,18385.030833333334
1967,Open,High,2020-02-23,,
1968,Closed,Critical,2021-10-21,2023-06-01 13:06:54,14125.115
1969,Pending Customer Response,High,2020-10-30,,
1970,Pending Customer Response,High,2021-07-11,,
1971,Pending Customer Response,Critical,2021-12-21,,
1972,Pending Customer Response,High,2021-09-29,,
1973,Pending Customer Response,High,2021-12-03,,
1974,Open,High,2020-03-17,,
1975,Pending Customer Response,High,2021-08-28,,
1976,Open,High,2021-01-25,,
1977,Open,Medium,2020-10-18,,
1978,Closed,High,2021-04-28,2023-06-01 17:17:08,18353.285555555554
1979,Closed,Low,2020-02-08,2023-06-01 05:41:09,29021.685833333333
1980,Open,Low,2021-05-16,,
1981,Closed,Low,2020-01-14,2023-06-01 21:07:12,29637.12
1982,Open,High,2020-03-28,,
1983,Open,Medium,2021-04-07,,
1984,Open,Low,2021-05-27,,
1985,Closed,High,2020-05-30,2023-06-01 10:07:19,26338.121944444443
1986,Open,Low,2021-06-22,,
1987,Pending Customer Response,Critical,2020-08-01,,
1988,Pending Customer Response,Medium,2021-06-28,,
1989,Open,Low,2021-02-02,,
1990,Pending Customer Response,High,2021-02-07,,
1991,Pending Customer Response,High,2021-07-04,,
1992,Closed,Low,2021-03-09,2023-06-01 13:00:26,19549.007222222222
1993,Pending Customer Response,Critical,2020-04-23,,
1994,Closed,Medium,2021-01-13,2023-06-01 13:12:30,20869.208333333332
1995,Closed,Medium,2020-01-22,2023-06-01 20:39:32,29444.658888888887
1996,Open,Medium,2021-10-17,,
1997,Pending Customer Response,Critical,2020-02-25,,
1998,Closed,Medium,2020-08-29,2023-06-01 10:59:36,24154.993333333332
1999,Pending Customer Response,High,2020-11-04,,
2000,Pending Customer Response,Medium,2020-06-27,,
2001,Open,Low,2021-08-14,,
2002,Pending Customer Response,Medium,2021-12-28,,
2003,Pending Customer Response,High,2021-02-21,,
2004,Closed,Critical,2020-07-28,2023-05-31 23:34:46,24911.579444444444
2005,Pending Customer Response,High,2020-06-04,,
2006,Pending Customer Response,Low,2021-07-04,,
2007,Open,High,2021-03-08,,
2008,Closed,Critical,2020-07-06,2023-06-01 15:48:50,25455.81388888889
2009,Open,Medium,2020-03-17,,
2010,Open,Critical,2021-05-22,,
2011,Open,High,2021-08-02,,
2012,Closed,Critical,2021-08-19,2023-06-01 08:43:55,15632.731944444444
2013,Open,Medium,2020-05-09,,
2014,Open,Medium,2021-06-01,,
2015,Open,Critical,2021-07-05,,
2016,Pending Customer Response,Low,2020-09-09,,
2017,Pending Customer Response,Critical,2020-06-04,,
2018,Pending Customer Response,High,2020-04-13,,
2019,Open,Medium,2020-11-01,,
2020,Open,Low,2021-11-10,,
2021,Pending Customer Response,Critical,2020-10-13,,
2022,Pending Customer Response,High,2021-12-05,,
2023,Closed,High,2021-02-20,2023-06-01 08:10:11,19952.16972222222
2024,Open,Critical,2020-04-07,,
2025,Open,Low,2020-09-26,,
2026,Pending Customer Response,High,2021-03-27,,
2027,Pending Customer Response,Low,2021-08-09,,
2028,Pending Customer Response,Critical,2021-10-06,,
2029,Pending Customer Response,High,2020-02-28,,
2030,Open,Medium,2021-03-08,,
2031,Closed,Critical,2020-05-19,2023-06-01 06:40:21,26598.6725
2032,Pending Customer Response,Medium,2021-10-22,,
2033,Open,High,2020-05-15,,
2034,Pending Customer Response,Medium,2020-02-14,,
2035,Open,Low,2021-01-04,,
2036,Closed,Medium,2021-04-17,2023-06-01 21:19:30,18621.325
2037,Closed,Critical,2020-09-23,2023-06-01 06:12:31,23550.20861111111
2038,Open,Critical,2021-12-02,,
2039,Open,Medium,2021-10-30,,
2040,Pending Customer Response,High,2021-11-02,,
2041,Open,Medium,2020-04-01,,
2042,Pending Customer Response,Medium,2020-03-20,,
2043,Pending Customer Response,Medium,2021-10-20,,
2044,Pending Customer Response,Medium,2020-07-02,,
2045,Pending Customer Response,High,2021-11-22,,
2046,Open,High,2020-04-26,,
2047,Pending Customer Response,Critical,2020-09-11,,
2048,Pending Customer Response,Medium,2021-02-01,,
2049,Open,Critical,2021-09-08,,
2050,Open,Medium,2021-10-21,,
2051,Pending Customer Response,Medium,2021-03-09,,
2052,Open,Critical,2020-06-27,,
2053,Open,Critical,2021-03-28,,
2054,Pending Customer Response,Critical,2021-08-06,,
2055,Open,High,2021-11-25,,
2056,Pending Customer Response,Low,2021-11-09,,
2057,Open,Medium,2020-01-10,,
2058,Open,Low,2020-10-10,,
2059,Open,Critical,2020-02-19,,
2060,Open,Low,2020-06-27,,
2061,Pending Customer Response,Critical,2020-07-23,,
2062,Closed,High,2020-03-24,2023-06-01 15:07:09,27951.119166666667
2063,Open,High,2021-10-12,,
2064,Closed,Low,2021-01-21,2023-06-01 07:48:11,20671.803055555556
2065,Open,Medium,2020-08-20,,
2066,Closed,High,2021-10-19,2023-06-01 01:54:15,14161.904166666667
2067,Pending Customer Response,Medium,2021-11-10,,
2068,Closed,High,2021-01-28,2023-06-01 10:13:18,20506.221666666668
2069,Pending Customer Response,Critical,2021-05-03,,
2070,Open,Critical,2020-08-09,,
2071,Open,Medium,2021-09-17,,
2072,Closed,High,2020-10-04,2023-05-31 22:48:24,23278.806666666667
2073,Pending Customer Response,Medium,2021-03-26,,
2074,Open,Critical,2021-07-20,,
2075,Closed,Critical,2021-09-28,2023-06-01 21:02:30,14685.041666666666
2076,Pending Customer Response,Medium,2020-09-03,,
2077,Pending Customer Response,Medium,2021-07-07,,
2078,Closed,Critical,2020-06-03,2023-05-31 23:52:34,26231.876111111113
2079,Open,Medium,2020-01-11,,
2080,Pending Customer Response,Critical,2021-03-05,,
2081,Open,High,2020-08-01,,
2082,Pending Customer Response,Critical,2020-10-11,,
2083,Closed,Critical,2020-03-09,2023-05-31 22:38:39,28294.644166666665
2084,Pending Customer Response,Critical,2020-02-02,,
2085,Open,Medium,2020-07-20,,
2086,Closed,High,2020-06-24,2023-06-01 21:48:44,25749.812222222223
2087,Pending Customer Response,High,2020-05-29,,
2088,Pending Customer Response,Critical,2020-06-09,,
2089,Pending Customer Response,Medium,2021-12-19,,
2090,Closed,Low,2020-12-24,2023-06-01 13:34:50,21349.580555555556
2091,Pending Customer Response,Medium,2020-04-23,,
2092,Closed,Medium,2021-10-21,2023-06-01 12:22:54,14124.381666666666
2093,Pending Customer Response,Low,2021-11-28,,
2094,Open,Low,2021-03-15,,
2095,Closed,High,2020-03-23,2023-06-01 00:18:59,27960.31638888889
2096,Pending Customer Response,High,2020-09-12,,
2097,Closed,Critical,2020-12-19,2023-06-01 18:31:02,21474.51722222222
2098,Closed,Medium,2021-05-07,2023-06-01 08:34:03,18128.5675
2099,Pending Customer Response,Medium,2021-12-05,,
2100,Pending Customer Response,Critical,2021-03-14,,
2101,Closed,Medium,2021-11-09,2023-05-31 23:04:07,13655.068611111112
2102,Closed,Critical,2020-08-21,2023-06-01 09:35:08,24345.585555555557
2103,Open,High,2021-12-12,,
2104,Closed,Medium,2021-08-29,2023-06-01 13:18:12,15397.303333333333
2105,Closed,Medium,2020-02-09,2023-06-01 12:48:14,29004.803888888888
2106,Open,High,2021-05-18,,
2107,Closed,Medium,2021-02-15,2023-06-01 02:13:17,20066.221388888887
2108,Pending Customer Response,High,2021-04-01,,
2109,Open,High,2020-06-01,,
2110,Closed,Low,2021-07-21,2023-06-01 22:29:21,16342.489166666666
2111,Open,Medium,2020-02-16,,
2112,Pending Customer Response,Critical,2020-07-10,,
2113,Pending Customer Response,Medium,2021-04-16,,
2114,Open,High,2020-02-24,,
2115,Pending Customer Response,Low,2020-05-16,,
2116,Closed,Low,2020-10-28,2023-06-01 09:41:29,22713.69138888889
2117,Open,Critical,2021-03-03,,
2118,Open,High,2020-04-06,,
2119,Pending Customer Response,Low,2021-07-15,,
2120,Pending Customer Response,Critical,2020-10-10,,
2121,Open,High,2020-03-07,,
2122,Pending Customer Response,Critical,2021-08-12,,
2123,Pending Customer Response,Medium,2021-06-15,,
2124,Open,Medium,2021-10-18,,
2125,Closed,High,2020-12-26,2023-06-01 03:59:44,21291.995555555557
2126,Open,High,2021-02-11,,
2127,Pending Customer Response,Low,2020-12-18,,
2128,Closed,Low,2021-09-14,2023-06-01 06:27:49,15006.46361111111
2129,Closed,Medium,2021-08-23,2023-06-01 20:47:49,15548.796944444444
2130,Closed,Critical,2020-07-07,2023-06-01 06:41:50,25422.69722222222
2131,Pending Customer Response,Low,2021-07-27,,
2132,Closed,Critical,2020-09-27,2023-06-01 03:11:54,23451.198333333334
2133,Open,Medium,2020-05-29,,
2134,Pending Customer Response,Critical,2021-06-05,,
2135,Closed,Low,2021-08-23,2023-06-01 07:29:58,15535.499444444444
2136,Open,High,2020-06-28,,
2137,Open,Critical,2021-05-19,,
2138,Pending Customer Response,Low,2020-03-19,,
2139,Closed,Critical,2020-01-20,2023-06-01 00:03:03,29472.050833333335
2140,Closed,Critical,2021-02-14,2023-06-01 11:26:05,20099.43472222222
2141,Open,Low,2020-06-13,,
2142,Open,High,2020-12-30,,
2143,Closed,Critical,2020-05-23,2023-06-01 11:24:10,26507.402777777777
2144,Pending Customer Response,High,2020-01-03,,
2145,Closed,High,2020-10-06,2023-06-01 17:18:13,23249.30361111111
2146,Open,Low,2020-05-07,,
2147,Open,Critical,2021-04-02,,
2148,Open,Critical,2020-10-07,,
2149,Open,High,2021-11-14,,
2150,Pending Customer Response,Medium,2021-10-06,,
2151,Pending Customer Response,Critical,2020-09-26,,
2152,Pending Customer Response,Low,2020-06-04,,
2153,Closed,Medium,2021-03-28,2023-06-01 03:43:23,19083.723055555554
2154,Pending Customer Response,High,2020-08-12,,
2155,Closed,Medium,2021-07-03,2023-06-01 18:42:26,16770.707222222223
2156,Closed,High,2021-05-05,2023-06-01 08:47:28,18176.79111111111
2157,Open,Low,2020-11-25,,
2158,Pending Customer Response,Critical,2020-10-21,,
2159,Pending Customer Response,Critical,2020-09-08,,
2160,Pending Customer Response,Low,2020-12-27,,
2161,Closed,Medium,2020-09-07,2023-06-01 08:03:36,23936.06
2162,Open,High,2021-07-22,,
2163,Closed,Low,2021-08-07,2023-06-01 20:17:38,15932.29388888889
2164,Open,Low,2021-08-20,,
2165,Open,Critical,2020-11-25,,
2166,Open,Low,2021-07-01,,
2167,Closed,Low,2021-10-09,2023-06-01 13:26:43,14413.445277777777
2168,Pending Customer Response,High,2021-11-24,,
2169,Open,Critical,2021-11-22,,
2170,Open,Medium,2020-01-02,,
2171,Pending Customer Response,Medium,2020-02-29,,
2172,Pending Customer Response,Medium,2020-01-06,,
2173,Pending Customer Response,Critical,2021-02-04,,
2174,Closed,Low,2021-11-01,2023-06-01 10:20:53,13858.348055555556
2175,Pending Customer Response,High,2020-11-30,,
2176,Pending Customer Response,Low,2020-09-19,,
2177,Open,High,2020-02-23,,
2178,Closed,High,2021-09-07,2023-06-01 02:47:57,15170.799166666666
2179,Open,Low,2020-08-11,,
2180,Closed,High,2021-07-19,2023-06-01 19:54:00,16387.9
2181,Open,High,2021-12-14,,
2182,Open,Critical,2020-10-19,,
2183,Pending Customer Response,High,2020-08-08,,
2184,Open,High,2020-10-17,,
2185,Closed,Medium,2021-01-02,2023-06-01 06:08:06,21126.135
2186,Open,Medium,2021-03-27,,
2187,Open,High,2021-03-09,,
2188,Closed,Low,2021-11-06,2023-06-01 00:19:11,13728.319722222222
2189,Pending Customer Response,Medium,2021-12-20,,
2190,Open,High,2020-06-30,,
2191,Open,High,2020-03-20,,
2192,Pending Customer Response,Low,2020-07-25,,
2193,Pending Customer Response,Medium,2020-01-27,,
2194,Closed,Medium,2020-08-29,2023-06-01 18:16:17,24162.27138888889
2195,Open,Critical,2020-11-23,,
2196,Pending Customer Response,Critical,2021-09-02,,
2197,Pending Customer Response,Medium,2021-08-21,,
2198,Closed,Low,2020-05-06,2023-06-01 06:56:22,26910.939444444444
2199,Open,Critical,2020-08-11,,
2200,Closed,Medium,2021-08-27,2023-06-01 01:38:25,15433.640277777778
2201,Pending Customer Response,Critical,2020-05-03,,
2202,Pending Customer Response,Low,2021-05-16,,
2203,Closed,Medium,2020-09-03,2023-06-01 20:24:30,24044.408333333333
2204,Open,Critical,2020-10-17,,
2205,Open,Medium,2020-05-01,,
2206,Pending Customer Response,High,2020-11-08,,
2207,Closed,Medium,2021-03-09,2023-06-01 10:29:37,19546.493611111113
2208,Closed,Medium,2021-11-03,2023-06-01 13:41:39,13813.694166666666
2209,Pending Customer Response,Low,2020-06-15,,
2210,Pending Customer Response,Medium,2020-08-22,,
2211,Pending Customer Response,Medium,2021-10-25,,
2212,Closed,High,2021-09-21,2023-06-01 17:40:44,14849.67888888889
2213,Open,High,2021-12-26,,
2214,Open,Medium,2020-11-07,,
2215,Open,Critical,2020-10-17,,
2216,Closed,High,2020-12-28,2023-05-31 22:39:49,21238.66361111111
2217,Closed,Critical,2020-02-05,2023-06-01 16:28:51,29104.480833333335
2218,Open,Critical,2020-01-08,,
2219,Open,High,2021-02-03,,
2220,Pending Customer Response,Medium,2021-07-10,,
2221,Open,Low,2020-01-19,,
2222,Closed,High,2020-05-26,2023-06-01 17:43:57,26441.7325
2223,Closed,High,2020-04-14,2023-06-01 04:09:58,27436.16611111111
